time,ping,download,upload
13/10/2022 18:43:32,6.658,93.8,74.5
13/10/2022 18:45:14,6.23,91.6,73.3
13/10/2022 18:52:50,6.644,88.0,102.0
13/10/2022 19:05:21,7.573,75.6,77.0
13/10/2022 19:07:16,6.36,78.4,96.9
13/10/2022 19:07:58,8.186,44.3,64.3
13/10/2022 19:08:37,7.385,52.7,17.7
13/10/2022 19:46:42,7.259,65.9,83.9
13/10/2022 19:47:44,7.355,54.8,78.0
13/10/2022 20:09:27,12.209,36.5,44.7
14/10/2022 00:41:08,11.423,380.9,779.6
14/10/2022 00:45:11,10.012,472.3,728.4
14/10/2022 00:54:53,11.532,361.7,653.1
14/10/2022 00:56:07,16.435,397.9,674.6
14/10/2022 01:03:11,14.497,381.2,698.3
14/10/2022 01:46:49,9.804,392.6,853.2
14/10/2022 09:57:42,9.285,728.6,910.1
14/10/2022 09:58:46,4.635,720.7,909.9
14/10/2022 10:17:48,8.714,528.0,885.2
14/10/2022 13:04:04,7.357,37.3,61.5
14/10/2022 13:04:42,7.02,90.4,93.8
14/10/2022 13:26:09,19.05,13.8,60.2
14/10/2022 13:31:55,6.34,90.7,92.8
